generation,status,fitness,games,wins,draws,port_wins,port_losses,dominance_cap_penalty,matchup_floor_penalty,matchup_recovery_bonus,port_loss_pressure_penalty,survival_infra_bonus,min_matchup_win_rate,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,dry_dock_started_rate,dry_dock_completed_rate,avg_damaged_ships,avg_raid_actions,avg_raid_damage_events,avg_raid_repairs,avg_damaged_raiders_sunk,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,dry_dock_bias,repair_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
20,learned,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
21,kept,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
22,kept,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
23,kept,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
24,kept,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
25,kept,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
26,kept,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
27,kept,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
28,kept,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
29,kept,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
